Name,Nation,Position,Club,Age,GK Rating,DL Rating,DC Rating,DR Rating,DM Rating,ML Rating,MC Rating,MR Rating,AML Rating,AMC Rating,AMR Rating,FS Rating,TS Rating,Unique ID,Вибір
"Messi, Lionel",Аргентина / Испания,"AM RC, F C",Inter Miami,36,35.00%,61.74%,48.10%,61.74%,62.04%,88.56%,82.85%,88.56%,90.57%,94.58%,94.33%,95.50%,82.94%,7458500,0
"Kane, Harry",Англия / Ирландия,AM/F C,FC Bayern,29,36.26%,67.26%,61.59%,67.26%,68.75%,84.57%,87.90%,83.65%,91.50%,88.75%,90.35%,95.33%,93.39%,28049320,0
"Silva, Bernardo",Португалия,AM RC,Man City,28,39.88%,84.63%,55.18%,69.35%,67.79%,91.44%,90.01%,93.25%,91.44%,90.18%,94.34%,87.61%,78.43%,55041632,0
"Haaland, Erling",Норвегия / Англия,ST,Man City,22,36.12%,62.66%,61.13%,62.66%,63.73%,72.58%,66.75%,72.58%,72.58%,69.49%,72.58%,93.93%,93.62%,29179241,0
"Mbappe, Kylian",Франция,"AM RL, ST",Paris SG,24,33.84%,58.71%,46.13%,58.71%,58.15%,85.88%,63.98%,85.88%,89.74%,71.52%,88.71%,93.25%,81.43%,85139014,0
"De Bruyne, Kevin",Бельгия,AM RLC,Man City,32,38.08%,68.29%,56.05%,68.29%,80.66%,93.04%,89.46%,93.04%,92.60%,90.71%,92.60%,90.33%,81.08%,18004457,0
"Courtois, Thibaut",Бельгия,GK,R. Madrid,31,92.79%,48.37%,52.41%,48.37%,51.31%,50.57%,50.12%,50.57%,50.57%,49.02%,50.57%,49.02%,51.79%,18026122,0
"Salah, Mohamed",Египет,"AM RL, ST",Liverpool,31,37.73%,64.02%,51.39%,64.02%,63.31%,84.10%,81.34%,85.20%,91.23%,84.92%,92.61%,91.65%,83.76%,98028755,0
Alisson,Бразилия,GK,Liverpool,30,92.41%,55.88%,54.36%,55.88%,58.19%,58.69%,58.39%,58.69%,58.69%,56.36%,58.69%,56.30%,56.15%,19058734,0
Ederson,Бразилия / Португалия,GK,Man City,29,91.68%,57.25%,56.17%,57.25%,62.06%,63.92%,64.92%,63.92%,63.92%,63.28%,63.92%,63.63%,62.63%,55057659,0
"Son, Heung-Min",Южная Корея,"AM L, ST",Tottenham,31,35.00%,62.69%,49.08%,62.69%,62.25%,87.68%,67.03%,86.83%,88.77%,82.29%,87.27%,91.52%,82.82%,92020288,0
"Saka, Bukayo",Англия / Нигерия,AM RL,Arsenal,21,36.23%,80.03%,54.07%,67.13%,65.07%,88.24%,80.72%,88.24%,91.05%,68.81%,91.36%,71.83%,65.58%,28122642,0
"Martinez, Lautaro",Аргентина,ST,Inter,25,34.87%,63.71%,57.16%,63.71%,64.08%,70.67%,67.30%,70.67%,70.67%,79.82%,70.67%,91.23%,88.67%,14110660,0
Vinicius Junior,Бразилия / Испания,"AM RL, ST",R. Madrid,22,36.07%,63.61%,53.82%,63.61%,62.02%,88.75%,66.40%,86.71%,90.91%,69.04%,89.17%,91.02%,83.94%,19302146,0
Neymar,Бразилия,"AM LC, F C",Al-Hilal (KSA),31,32.22%,58.01%,46.90%,58.01%,57.83%,88.74%,64.30%,87.81%,90.91%,90.78%,88.74%,90.71%,79.18%,19024412,0
"Odegaard, Martin",Норвегия,AM C,Arsenal,24,37.74%,66.81%,53.25%,66.81%,81.32%,88.75%,88.64%,90.38%,88.75%,90.05%,90.84%,86.30%,77.74%,53095137,0
"van Dijk, Virgil",Голландия / Суринам,D C,Liverpool,32,39.61%,71.06%,90.67%,71.06%,84.06%,66.68%,68.66%,66.68%,66.68%,62.87%,66.68%,78.63%,80.98%,37024025,0
"Oblak, Jan",Словения,GK,A. Madrid,30,90.64%,45.80%,45.85%,45.80%,49.84%,47.47%,50.04%,47.47%,47.47%,47.01%,47.47%,46.05%,45.57%,64016316,0
Rodri,Испания,"D C, DM",Man City,27,40.54%,72.87%,87.07%,72.87%,90.22%,70.42%,88.64%,70.42%,70.42%,66.96%,70.42%,69.71%,69.76%,67217524,0
Gabriel Jesus,Бразилия,"AM RL, ST",Arsenal,26,36.59%,66.56%,57.78%,66.56%,65.94%,81.58%,68.47%,81.89%,88.44%,81.13%,88.83%,90.07%,86.70%,19220266,0
